Date,Free_Chlorine_ppm,Combined_Chlorine_ppm,pH,Cyanuric_Acid_ppm,Calcium_Hardness_ppm,Phosphates_ppb,Water_Temperature_F
2024-06-23,3.2,0.03,7.54,47,232,11,85
2024-06-30,3.3,0.0,7.6,48,234,6,90
2024-07-07,3.6,0.1,7.68,48,236,43,88
2024-07-14,4.1,0.17,7.65,49,239,0,91
2024-07-21,4.6,0.47,7.65,49,240,53,89
2024-07-28,4.3,0.44,7.54,49,243,3,88
2024-08-04,4.7,0.41,7.53,49,245,0,89
2024-08-11,4.4,0.33,7.58,49,247,82,89
2024-08-18,3.8,0.39,7.61,49,247,111,95
2024-08-25,3.5,0.41,7.59,50,248,93,89
2024-09-01,2.9,0.5,7.62,50,249,45,92
2024-09-08,2.8,0.34,7.62,50,252,28,88
2024-09-15,3.0,0.25,7.66,50,253,38,91
2024-09-22,3.6,0.18,7.64,50,253,44,89
2024-09-29,4.5,0.28,7.58,51,253,43,87
2024-10-06,3.6,0.43,7.58,51,252,44,86
2024-10-13,3.9,0.31,7.39,51,252,39,84
2024-10-20,3.4,0.23,7.44,52,253,0,85
2024-10-27,3.8,0.26,7.23,52,256,0,82
2024-11-03,3.8,0.21,7.2,52,257,46,79
2024-11-10,3.1,0.32,7.3,52,256,0,77
2024-11-17,3.8,0.01,7.38,53,257,10,78
2024-11-24,3.6,0.0,7.34,52,258,0,79
2024-12-01,3.5,0.0,7.34,52,261,19,75
2024-12-08,3.2,0.0,7.46,52,261,16,73
2024-12-15,3.2,0.0,7.44,52,262,80,72
2024-12-22,3.7,0.0,7.59,52,264,87,73
2024-12-29,3.7,0.0,7.57,53,266,28,70
2025-01-05,3.9,0.11,7.58,53,268,59,67
2025-01-12,4.1,0.11,7.65,54,269,29,70
2025-01-19,3.5,0.34,7.72,54,271,226,67
2025-01-26,2.3,0.62,7.71,54,273,385,69
2025-02-02,1.1,0.95,7.75,54,273,69,66
2025-02-09,2.6,0.61,7.68,55,275,35,63
2025-02-16,2.9,0.38,7.56,55,275,19,62
2025-02-23,3.8,0.39,7.53,30,276,7,68
2025-03-02,4.0,0.31,7.48,31,278,2,69
2025-03-09,4.0,0.35,7.54,31,278,57,65
2025-03-16,4.1,0.31,7.53,31,280,77,66
2025-03-23,5.0,0.36,7.51,31,280,127,70
2025-03-30,5.6,0.19,7.5,31,280,180,66
2025-04-06,5.0,0.19,7.51,32,281,98,67
2025-04-13,4.8,0.17,7.55,32,281,84,72
2025-04-20,5.0,0.03,7.47,32,283,31,71
2025-04-27,4.3,0.0,7.42,32,283,10,73
2025-05-04,4.3,0.07,7.5,33,285,2,74
2025-05-11,4.2,0.07,7.48,33,285,0,77
2025-05-18,4.2,0.0,7.4,33,285,0,81
2025-05-25,3.8,0.04,7.45,34,286,0,80
2025-06-01,1.9,0.55,7.59,34,289,180,82
2025-06-08,0.5,0.5,7.58,34,290,374,78
2025-06-15,0.1,0.56,7.67,35,291,438,84
2025-06-22,0.0,0.67,7.77,35,293,497,84
2025-06-29,0.1,1.04,7.83,35,292,505,84
2025-07-06,2.3,0.82,7.78,36,293,385,86
2025-07-13,3.3,0.73,7.63,35,296,278,88
2025-07-20,3.0,0.43,7.62,36,298,151,91
2025-07-27,3.5,0.23,7.57,36,299,123,87
2025-08-03,3.4,0.27,7.52,36,301,58,91
2025-08-10,3.4,0.26,7.57,37,303,107,90
2025-08-17,3.6,0.31,7.64,37,302,115,90
2025-08-24,3.9,0.25,7.71,37,196,96,93
2025-08-31,3.7,0.27,7.74,37,197,0,92
2025-09-07,4.2,0.27,7.67,37,198,0,93
2025-09-14,3.5,0.34,7.65,38,200,28,89
2025-09-21,3.6,0.4,7.66,38,201,78,87
2025-09-28,4.9,0.14,7.63,38,200,107,87
2025-10-05,4.6,0.0,7.6,39,200,31,87
2025-10-12,5.0,0.1,7.63,39,199,49,86
2025-10-19,4.6,0.27,7.59,39,200,85,82
2025-10-26,4.6,0.13,7.52,40,201,14,83
2025-11-02,3.2,0.26,7.59,40,202,237,82
2025-11-09,2.2,0.58,7.71,40,204,391,85
2025-11-16,1.3,0.91,7.76,40,206,471,82
2025-11-23,2.4,0.91,7.71,40,207,312,75
2025-11-30,2.6,0.76,7.7,41,206,209,75
2025-12-07,3.4,0.55,7.63,41,208,148,71
2025-12-14,4.1,0.34,7.64,41,210,94,71
2025-12-21,4.2,0.3,7.63,42,211,63,72
2025-12-28,4.0,0.23,7.52,42,214,57,72
2026-01-04,4.2,0.1,7.6,43,214,70,67
2026-01-11,4.0,0.38,7.55,43,217,52,66
2026-01-18,4.4,0.54,7.44,43,217,37,62
2026-01-25,3.5,0.57,7.39,43,219,45,66
2026-02-01,3.5,0.35,7.36,43,219,0,63
2026-02-08,2.8,0.41,7.39,44,219,21,64
2026-02-15,2.5,0.42,7.4,44,222,31,63
2026-02-22,3.7,0.41,7.41,44,222,39,65
2026-03-01,4.2,0.5,7.47,45,225,77,62
2026-03-08,3.8,0.48,7.5,45,226,0,63
2026-03-15,3.2,0.49,7.52,45,227,0,71
2026-03-22,2.1,0.48,7.54,45,230,0,65
2026-03-29,2.5,0.44,7.56,45,231,13,66
2026-04-05,4.1,0.15,7.42,46,230,32,73
2026-04-12,4.3,0.18,7.42,46,230,22,76
2026-04-19,3.9,0.12,7.31,46,232,55,69
2026-04-26,4.2,0.0,7.36,47,234,86,72
2026-05-03,3.4,0.25,7.39,47,233,90,75
2026-05-10,3.5,0.44,7.48,47,234,67,79
2026-05-17,3.7,0.53,7.56,47,234,0,76
2026-05-24,2.6,0.79,7.66,48,235,246,79
2026-05-31,2.2,1.11,7.69,48,235,430,82
2026-06-07,1.8,1.17,7.77,48,236,71,83
2026-06-14,1.7,1.23,7.77,48,236,304,83
2026-06-21,1.0,1.12,7.8,48,238,480,85
2026-06-28,2.4,0.89,7.79,48,240,321,84
2026-07-05,3.6,0.69,7.68,48,241,253,87
2026-07-12,3.3,0.39,7.68,49,242,184,88
2026-07-19,3.0,0.33,7.68,27,243,98,90
2026-07-26,3.9,0.28,7.58,27,244,96,89
2026-08-02,3.8,0.47,7.62,27,244,100,91
2026-08-09,4.4,0.5,7.63,27,244,85,93
2026-08-16,3.9,0.41,7.6,28,245,81,91
